"Txhash","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0xa8a0e17468e14163d5d7109d74427e68afe6de6bd798861a3db32d35310c8ab2","1664065850","2022-09-25 00:30:50","0x3e051c89cd06e6867ce98c758fcc665d2148e1bb","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","500","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0xa8a0e17468e14163d5d7109d74427e68afe6de6bd798861a3db32d35310c8ab2","1664065850","2022-09-25 00:30:50","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0xf04adbf75cdfc5ed26eea4bbbb991db002036bdd","798.185875532178442538","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0x7f3199ce66252190f4201893a51a077a5b6063bea06cda65e829596998413ac6","1664065986","2022-09-25 00:33:06","0x3e051c89cd06e6867ce98c758fcc665d2148e1bb","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","300","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0x7f3199ce66252190f4201893a51a077a5b6063bea06cda65e829596998413ac6","1664065986","2022-09-25 00:33:06","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0xf04adbf75cdfc5ed26eea4bbbb991db002036bdd","478.734739840176338825","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0x00ef2f9f9073b8d0358eceef12ccf363444afd2318bc753e359e56123d25defc","1664066032","2022-09-25 00:33:52","0x9a2f065d278f5674ec4d7b638c87ab934af5b0b7","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","5.03","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0x00ef2f9f9073b8d0358eceef12ccf363444afd2318bc753e359e56123d25defc","1664066032","2022-09-25 00:33:52","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0xcd578f016888b57f1b1e3f887f392f0159e26747","8.025654832981262068","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0x7073d1faa4c881f341373736f1801ed8e17d6423d1dd5ab47b3ecef052a6d73f","1664066056","2022-09-25 00:34:16","0x71083873027583cf3b6a94c5baddc20482c587ee","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","1.2114714957399256","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0x7073d1faa4c881f341373736f1801ed8e17d6423d1dd5ab47b3ecef052a6d73f","1664066056","2022-09-25 00:34:16","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0x20b5f71daf95c712e776af8a3b7926fa8fda5909","1.932967007582251396","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0x881b77190a3c268062fb1ebf214e545c32016caf3244012a35f6d3a6a85e3a03","1664066556","2022-09-25 00:42:36","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0x89d2adba00fa9b1b7068a8ff784046055c218099","1.076339326126926252","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0x881b77190a3c268062fb1ebf214e545c32016caf3244012a35f6d3a6a85e3a03","1664066556","2022-09-25 00:42:36","0x7d848c8c6873e2b962c45882a6e6bf30218c9638","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0.674587586382457419","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0xbd883d1b2ad39e91f2b6ad54a92e8099fb6487f23ea6958e6cc3e860c731fa26","1664068394","2022-09-25 01:13:14","0xf04adbf75cdfc5ed26eea4bbbb991db002036bdd","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","2,985.902112078961986638","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0xbd883d1b2ad39e91f2b6ad54a92e8099fb6487f23ea6958e6cc3e860c731fa26","1664068394","2022-09-25 01:13:14","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0x9fe69ce879aef5d4dd5617fdc09d84790eacd1f3","1,858.583711205233688214","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0xc5ea560005d54a90aaa6ed01f6de7b02b81af02a3253b6b1e6b8820b72fb8181","1664068646","2022-09-25 01:17:26","0xeef611894ceae652979c9d0dae1deb597790c6ee","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","16.079391049232236455","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0xc5ea560005d54a90aaa6ed01f6de7b02b81af02a3253b6b1e6b8820b72fb8181","1664068646","2022-09-25 01:17:26","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0xcab7eac9acd63ef7a52b0d40ef64a9a80089e169","10","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0xb97da28856093298e3f32288ec0e07a20ed00dede441f5ffd3f52f86ce468984","1664069096","2022-09-25 01:24:56","0x9a2f065d278f5674ec4d7b638c87ab934af5b0b7","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","15","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0xb97da28856093298e3f32288ec0e07a20ed00dede441f5ffd3f52f86ce468984","1664069096","2022-09-25 01:24:56","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0x64768a3a2453f1e8de9e43e92d65fc36e4c9872d","23.974534536562923743","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0xd25f809a8fa0b69e77e9d1c98602d9d15e5c63af0369683825e149d96d4da072","1664069162","2022-09-25 01:26:02","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0x89d2adba00fa9b1b7068a8ff784046055c218099","3.239853017956530766","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
